Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroup,IncomeCategory,ExperienceCategory,PromotionRiskScore,OT_Score,AttritionRiskScore
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,96,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,1,1,6,4,0,5,Senior,Medium Income,Intermediate,2,1,7.168613382279326
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,96,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,22,4,4,80,1,10,3,3,10,7,1,7,Veteran,Medium Income,Intermediate,3,0,5.949317738791423
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,96,4,Male,92,2,1,Laboratory Technician,3,Single,2097,3376,6,Y,Yes,15,3,2,80,0,7,3,3,1,0,0,0,Senior,Low Income,Intermediate,1,1,10.768717215069145
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,96,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Mid,Low Income,Intermediate,4,1,9.937607425232038
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,96,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,8,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Mid,Low Income,Intermediate,3,0,3.883506343713956
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,96,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Mid,Low Income,Intermediate,4,0,4.2594524119947845
54,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,96,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,Veteran,Low Income,Experienced,1,1,10.245318352059925
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,96,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,Mid,Low Income,Beginner,1,0,15.713330857779429
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,96,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Senior,High Income,Intermediate,4,0,12.549758555532227
36,No,Travel_Rarely,1299,Research & Development,26,3,Medical,1,96,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,Senior,Medium Income,Experienced,9,0,14.909490166125645
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,96,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,Mid,Low Income,Intermediate,1,0,12.122011541632316
29,No,Travel_Rarely,164,Research & Development,15,2,Life Sciences,1,96,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,Mid,Medium Income,Intermediate,2,1,14.884927259718578
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,96,1,Male,33,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,Mid,Low Income,Beginner,5,0,16.435245620061835
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,96,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,Mid,Low Income,Beginner,2,0,13.257985719654265
28,Yes,Travel_Rarely,164,Research & Development,24,3,Life Sciences,1,96,3,Male,50,2,1,Laboratory Technician,3,Single,2097,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,Mid,Low Income,Intermediate,1,1,21.768717215069145
